OBJECTNUMMER;Boomsoort;Wetenschappelijke_naam;Plantjaar;Stamomtrek;Stamdiameter;Beschermwaarde;Toelichting;Referentienummer_stadsdeel;Volgnummer;Groep;SELECTIE_CAT;Foto;Vastgesteld;Achtergrond;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"Hollandse iep";"Ulmus xhollandica `Belgica`";1940;"100-200 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"378";"C015";"Monumentale boom";"BOOM_50_80";"378.jpg";"Ja";"Boom_378.pdf";"POINT(4.8882229,52.3780982)";"POINT(52.3780982,4.8882229)";4.8882229;52.3780982;
2;"Hollandse iep";"Ulmus xhollandica `Belgica`";1940;"100-200 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"405";"C020";"Monumentale boom";"BOOM_50_80";"405.jpg";"Ja";"Boom_405.pdf";"POINT(4.8863199,52.3784491)";"POINT(52.3784491,4.8863199)";4.8863199;52.3784491;
3;"Hollandse iep";"Ulmus xhollandica `Belgica`";1940;"100-200 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"441";"C022";"Monumentale boom";"BOOM_50_80";"441.jpg";"Ja";"Boom_441.pdf";"POINT(4.8865192,52.3786627)";"POINT(52.3786627,4.8865192)";4.8865192;52.3786627;
4;"Huntingdon-iep";"Ulmus xhollandica `Vegeta`";1900;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"715";"C044";"Monumentale boom";"BOOM_100PLUS";"715.jpg";"Ja";"Boom_715.pdf";"POINT(4.8848522,52.3826872)";"POINT(52.3826872,4.8848522)";4.8848522;52.3826872;
5;"Hollandse iep";"Ulmus xhollandica `Belgica`";1920;"100-200 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"1225";"C065";"Monumentale boom";"BOOM_80_100";"1225.jpg";"Ja";"Boom_1225.pdf";"POINT(4.9035351,52.3711478)";"POINT(52.3711478,4.9035351)";4.9035351;52.3711478;
6;"Hollandse iep";"Ulmus xhollandica `Belgica`";1920;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"1875";"C081";"Monumentale boom";"BOOM_80_100";"1875.jpg";"Ja";"Boom_1875.pdf";"POINT(4.903054,52.3636023)";"POINT(52.3636023,4.903054)";4.903054;52.3636023;
7;"Hollandse iep";"Ulmus xhollandica `Belgica`";1940;"100-200 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"2483";"C124";"Monumentale boom";"BOOM_50_80";"2483.jpg";"Ja";"Boom_2483.pdf";"POINT(4.8961532,52.3685614)";"POINT(52.3685614,4.8961532)";4.8961532;52.3685614;
8;"Hollandse iep";"Ulmus xhollandica `Belgica`";1940;"100-200 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"2570";"C125";"Monumentale boom";"BOOM_50_80";"2570.jpg";"Ja";"Boom_2570.pdf";"POINT(4.8992422,52.3685958)";"POINT(52.3685958,4.8992422)";4.8992422;52.3685958;
9;"Hollandse iep";"Ulmus xhollandica `Belgica`";1940;"100-200 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"2597";"C126";"Monumentale boom";"BOOM_50_80";"2597.jpg";"Ja";"Boom_2597.pdf";"POINT(4.8989322,52.369435)";"POINT(52.369435,4.8989322)";4.8989322;52.369435;
10;"Hollandse iep";"Ulmus xhollandica `Belgica`";1940;"100-200 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"2699";"C128";"Monumentale boom";"BOOM_50_80";"2699.jpg";"Ja";"Boom_2699.pdf";"POINT(4.89731,52.369744)";"POINT(52.369744,4.89731)";4.89731;52.369744;
