BAG-id_3D-GebouwhoogteNL;BAG-id_Datapunt;Gebouwnaam 

03630013090603;123;123
03630013097290;123;123
03630012967259;123;123
03630012970870;0363100012171850;De Waag
03630012994576;0363100012164935;Stopera
03630013075091;0363100012242042;Muziekgebouw_Aan__t_IJ
03630013075091;0363100012242042;Movenpick
03630013061196;0363100012240311;Amsterdam_Centraal
03630012994144;0363100012185599;Amsterdam_Centraal
03630022623420;0363100012240311;Amsterdam_Centraal
03630023678852;0363100012242112;Amsterdam_Centraal
03630023678979;0363100012245758;Amsterdam_Centraal
03630013058649;0363100012164988;Nemo
03630013409551;0363100012170749;Nemo
03630013044383;0363100012237298;Rijksmuseum
03630013044640;0363100012237298;Rijksmuseum
03630012978609;0363100012236686;Rijksmuseum
03630013104502;0363100012178474;Oude_Kerk
03630013060155;0363100012178469;Oude_Kerk
03630013082380;0363100012178472;Oude_Kerk
03630013104504;0363100012178469;Oude_Kerk
03630012971549;0363100012178477;Oude_Kerk
03630013104505;0363100012178469;Oude_Kerk
03630013104503;0363100012178469;Oude_Kerk
03630013104523;0363100012178469;Oude_Kerk
03630013037903;0363100012178474;Oude_Kerk
03630013081654;0363100012170236;Scheepvaartmuseum
03630013092520;0363100012078772;03630013092520


NB: Voor Movenpick en Muziekgebouw dezelfde gebouwen uitzetten.


